id;Gemeente;Groep_rij;Geslacht;Bij geboorte;Bij geboorte (afwijking tov NL);Bij 65 jaar;Bij 65 jaar (afwijking tov NL)
0518;'s-Gravenhage;Levensverwachting;Totaal;80,8;onder, 99% zeker;19,1;onder, 99% zeker
0796;'s-Hertogenbosch;Levensverwachting;Totaal;81,3;onder, 99% zeker;19,7;onder, 99% zeker
1680;Aa en Hunze;Levensverwachting;Totaal;82,1;geen;20,4;geen
0358;Aalsmeer;Levensverwachting;Totaal;82,9;boven, 99% zeker;20,1;geen
0197;Aalten;Levensverwachting;Totaal;82,1;geen;20,3;geen
0059;Achtkarspelen;Levensverwachting;Totaal;81,4;geen;19,7;geen
0482;Alblasserdam;Levensverwachting;Totaal;82,7;boven, 95% zeker;20,6;boven, 95% zeker
0613;Albrandswaard;Levensverwachting;Totaal;83,0;boven, 99% zeker;21,1;boven, 99% zeker
0361;Alkmaar;Levensverwachting;Totaal;81,8;geen;20,3;boven, 99% zeker
0141;Almelo;Levensverwachting;Totaal;80,2;onder, 99% zeker;19,2;onder, 99% zeker
0034;Almere;Levensverwachting;Totaal;82,3;boven, 99% zeker;20,1;geen
0484;Alphen aan den Rijn;Levensverwachting;Totaal;82,7;boven, 99% zeker;20,5;boven, 99% zeker
1723;Alphen-Chaam;Levensverwachting;Totaal;83,6;boven, 99% zeker;21,6;boven, 99% zeker
1959;Altena;Levensverwachting;Totaal;82,6;boven, 99% zeker;20,4;boven, 95% zeker
0060;Ameland;Levensverwachting;Totaal;82,1;geen;19,9;geen
0307;Amersfoort;Levensverwachting;Totaal;82,1;geen;20,0;geen
0362;Amstelveen;Levensverwachting;Totaal;83,4;boven, 99% zeker;21,0;boven, 99% zeker
0363;Amsterdam;Levensverwachting;Totaal;81,1;onder, 99% zeker;19,5;onder, 99% zeker
0200;Apeldoorn;Levensverwachting;Totaal;81,4;onder, 99% zeker;20,0;geen
0003;Appingedam;Levensverwachting;Totaal;80,2;onder, 99% zeker;18,8;onder, 99% zeker
0202;Arnhem;Levensverwachting;Totaal;80,1;onder, 99% zeker;18,8;onder, 99% zeker
0106;Assen;Levensverwachting;Totaal;80,9;onder, 99% zeker;19,6;onder, 99% zeker
0743;Asten;Levensverwachting;Totaal;81,8;geen;19,9;geen
0744;Baarle-Nassau;Levensverwachting;Totaal;83,0;geen;21,8;boven, 99% zeker
0308;Baarn;Levensverwachting;Totaal;80,1;onder, 99% zeker;19,4;onder, 99% zeker
0489;Barendrecht;Levensverwachting;Totaal;83,9;boven, 99% zeker;21,2;boven, 99% zeker
0203;Barneveld;Levensverwachting;Totaal;82,1;geen;20,1;geen
0888;Beek;Levensverwachting;Totaal;83,6;boven, 99% zeker;21,4;boven, 99% zeker
1954;Beekdaelen;Levensverwachting;Totaal;82,4;geen;20,4;boven, 95% zeker
0370;Beemster;Levensverwachting;Totaal;84,5;boven, 99% zeker;22,4;boven, 99% zeker
0889;Beesel;Levensverwachting;Totaal;83,1;boven, 99% zeker;20,9;boven, 99% zeker
1945;Berg en Dal;Levensverwachting;Totaal;80,8;onder, 99% zeker;19,0;onder, 99% zeker
1724;Bergeijk;Levensverwachting;Totaal;83,8;boven, 99% zeker;21,2;boven, 99% zeker
0893;Bergen (L.);Levensverwachting;Totaal;81,5;geen;19,9;geen
0373;Bergen (NH.);Levensverwachting;Totaal;82,1;geen;20,1;geen
0748;Bergen op Zoom;Levensverwachting;Totaal;81,2;onder, 95% zeker;19,8;geen
1859;Berkelland;Levensverwachting;Totaal;82,2;geen;20,1;geen
1721;Bernheze;Levensverwachting;Totaal;82,2;geen;20,1;geen
0753;Best;Levensverwachting;Totaal;82,9;boven, 99% zeker;20,8;boven, 99% zeker
0209;Beuningen;Levensverwachting;Totaal;81,8;geen;20,0;geen
0375;Beverwijk;Levensverwachting;Totaal;81,1;onder, 95% zeker;19,5;onder, 95% zeker
1728;Bladel;Levensverwachting;Totaal;82,7;boven, 95% zeker;20,3;geen
0376;Blaricum;Levensverwachting;Totaal;83,4;boven, 99% zeker;21,0;boven, 99% zeker
0377;Bloemendaal;Levensverwachting;Totaal;83,0;boven, 99% zeker;20,9;boven, 99% zeker
1901;Bodegraven-Reeuwijk;Levensverwachting;Totaal;83,4;boven, 99% zeker;21,6;boven, 99% zeker
0755;Boekel;Levensverwachting;Totaal;81,5;geen;19,7;geen
1681;Borger-Odoorn;Levensverwachting;Totaal;81,0;geen;19,9;geen
0147;Borne;Levensverwachting;Totaal;82,7;boven, 95% zeker;20,7;boven, 99% zeker
0654;Borsele;Levensverwachting;Totaal;83,7;boven, 99% zeker;21,8;boven, 99% zeker
0756;Boxmeer;Levensverwachting;Totaal;82,8;boven, 99% zeker;20,7;boven, 99% zeker
0757;Boxtel;Levensverwachting;Totaal;81,2;geen;19,6;geen
0758;Breda;Levensverwachting;Totaal;81,3;onder, 99% zeker;19,7;onder, 99% zeker
0501;Brielle;Levensverwachting;Totaal;81,9;geen;20,3;geen
1876;Bronckhorst;Levensverwachting;Totaal;83,4;boven, 99% zeker;21,2;boven, 99% zeker
0213;Brummen;Levensverwachting;Totaal;82,3;geen;20,8;boven, 99% zeker
0899;Brunssum;Levensverwachting;Totaal;80,0;onder, 99% zeker;18,5;onder, 99% zeker
0312;Bunnik;Levensverwachting;Totaal;86,0;boven, 99% zeker;23,8;boven, 99% zeker
0313;Bunschoten;Levensverwachting;Totaal;83,0;boven, 99% zeker;20,8;boven, 99% zeker
0214;Buren;Levensverwachting;Totaal;82,6;boven, 95% zeker;20,6;boven, 95% zeker
0502;Capelle aan den IJssel;Levensverwachting;Totaal;82,1;geen;20,0;geen
0383;Castricum;Levensverwachting;Totaal;83,6;boven, 99% zeker;21,2;boven, 99% zeker
0109;Coevorden;Levensverwachting;Totaal;80,6;onder, 99% zeker;19,6;onder, 95% zeker
1706;Cranendonck;Levensverwachting;Totaal;81,9;geen;20,2;geen
1684;Cuijk;Levensverwachting;Totaal;81,7;geen;20,2;geen
0216;Culemborg;Levensverwachting;Totaal;81,9;geen;19,7;geen
0148;Dalfsen;Levensverwachting;Totaal;83,8;boven, 99% zeker;21,2;boven, 99% zeker
1891;Dantumadiel;Levensverwachting;Totaal;81,0;onder, 95% zeker;18,8;onder, 99% zeker
0310;De Bilt;Levensverwachting;Totaal;82,5;boven, 95% zeker;20,2;geen
1940;De Fryske Marren;Levensverwachting;Totaal;82,7;boven, 99% zeker;20,5;boven, 99% zeker
0736;De Ronde Venen;Levensverwachting;Totaal;83,4;boven, 99% zeker;21,2;boven, 99% zeker
1690;De Wolden;Levensverwachting;Totaal;82,4;geen;20,3;geen
0503;Delft;Levensverwachting;Totaal;81,9;geen;20,3;boven, 95% zeker
0010;Delfzijl;Levensverwachting;Totaal;80,1;onder, 99% zeker;18,9;onder, 99% zeker
0400;Den Helder;Levensverwachting;Totaal;81,1;onder, 99% zeker;19,9;geen
0762;Deurne;Levensverwachting;Totaal;81,5;geen;19,9;geen
0150;Deventer;Levensverwachting;Totaal;81,4;onder, 95% zeker;19,7;onder, 95% zeker
0384;Diemen;Levensverwachting;Totaal;82,5;geen;20,5;geen
1774;Dinkelland;Levensverwachting;Totaal;83,8;boven, 99% zeker;20,7;boven, 99% zeker
0221;Doesburg;Levensverwachting;Totaal;82,5;geen;20,4;geen
0222;Doetinchem;Levensverwachting;Totaal;81,2;onder, 95% zeker;19,7;geen
0766;Dongen;Levensverwachting;Totaal;81,9;geen;20,1;geen
0505;Dordrecht;Levensverwachting;Totaal;81,2;onder, 99% zeker;19,7;onder, 99% zeker
0498;Drechterland;Levensverwachting;Totaal;82,5;geen;20,6;boven, 95% zeker
1719;Drimmelen;Levensverwachting;Totaal;82,1;geen;20,4;geen
0303;Dronten;Levensverwachting;Totaal;83,1;boven, 99% zeker;21,5;boven, 99% zeker
0225;Druten;Levensverwachting;Totaal;81,5;geen;20,3;geen
0226;Duiven;Levensverwachting;Totaal;82,8;boven, 95% zeker;20,8;boven, 99% zeker
1711;Echt-Susteren;Levensverwachting;Totaal;81,7;geen;19,8;geen
0385;Edam-Volendam;Levensverwachting;Totaal;82,4;boven, 95% zeker;20,1;geen
0228;Ede;Levensverwachting;Totaal;82,6;boven, 99% zeker;20,9;boven, 99% zeker
0317;Eemnes;Levensverwachting;Totaal;84,8;boven, 99% zeker;22,5;boven, 99% zeker
0770;Eersel;Levensverwachting;Totaal;82,6;geen;21,0;boven, 99% zeker
1903;Eijsden-Margraten;Levensverwachting;Totaal;83,0;boven, 99% zeker;20,8;boven, 99% zeker
0772;Eindhoven;Levensverwachting;Totaal;81,3;onder, 99% zeker;19,9;geen
0230;Elburg;Levensverwachting;Totaal;82,5;geen;20,2;geen
0114;Emmen;Levensverwachting;Totaal;80,7;onder, 99% zeker;19,4;onder, 99% zeker
0388;Enkhuizen;Levensverwachting;Totaal;82,0;geen;20,2;geen
0153;Enschede;Levensverwachting;Totaal;80,1;onder, 99% zeker;18,9;onder, 99% zeker
0232;Epe;Levensverwachting;Totaal;82,5;boven, 95% zeker;20,8;boven, 99% zeker
0233;Ermelo;Levensverwachting;Totaal;81,4;geen;20,0;geen
0777;Etten-Leur;Levensverwachting;Totaal;81,7;geen;19,9;geen
